text,like_count,timestamp,clean_text
"&quot;Education isn&#39;t meant to be binged and because of this, I&#39;ll probably remind you quite a bit to take breaks.&quot; ~ The best quote I&#39;ve heard today.",1965,2023-02-07T16:31:55Z,quoteducation isn39t meant to be binged and because of this i39ll probably remind you quite a bit to take breaksquot  the best quote i39ve heard today
Best api course ever. I never saw any teachers make learning course enjoyable as much as Craig Dennis. He even teach people to take their time to relax and think.,505,2023-03-13T04:11:58Z,best api course ever i never saw any teachers make learning course enjoyable as much as craig dennis he even teach people to take their time to relax and think
"I learned about this concept in school but it was only briefly covered in a database class and I never understood the point of it until my last job. They were manually configuring hundreds of appliance-type devices through their web UI&#39;s which took hours of work. One small change request was many more hours of work again. I realized that these appliances had an API and we were able to reduce hours of work into minutes by writing scripts that took a list of IP&#39;s and sent API commands to each device in the list. I did the same thing on another project and cut my estimated completion time in half. <br><br>As someone who is in IT but is not a developer, even I could see the enormous power and potential of the API. It opens the door to automation, which reduces human error dramatically. It also speeds up onboarding. I am looking forward to watching this course and learning more about API&#39;s and their other uses.",220,2023-03-17T16:31:23Z,i learned about this concept in school but it was only briefly covered in a database class and i never understood the point of it until my last job they were manually configuring hundreds of appliancetype devices through their web ui39s which took hours of work one small change request was many more hours of work again i realized that these appliances had an api and we were able to reduce hours of work into minutes by writing scripts that took a list of ip39s and sent api commands to each device in the list i did the same thing on another project and cut my estimated completion time in half brbras someone who is in it but is not a developer even i could see the enormous power and potential of the api it opens the door to automation which reduces human error dramatically it also speeds up onboarding i am looking forward to watching this course and learning more about api39s and their other uses
"Hey everyone, unfortunately he is right about the Spotify page being different. Problem is, they&#39;ve removed the ability to generate authentication tokens and curl statements in the browser and while still possible, it&#39;s a much more difficult process. I&#39;d recommend just watching the Spotify part and then jumping in at the Twilio part.",211,2023-04-27T22:43:27Z,hey everyone unfortunately he is right about the spotify page being different problem is they39ve removed the ability to generate authentication tokens and curl statements in the browser and while still possible it39s a much more difficult process i39d recommend just watching the spotify part and then jumping in at the twilio part
"Absolutely love the tone and approach to this course, and thank you for making this free!",170,2023-02-12T15:15:37Z,absolutely love the tone and approach to this course and thank you for making this free
Wow this video came up at the right time.. Thank you FCC.. And thank you Craig for making this a fun journey. You have done a really amazing job at not making this tutorial a boring one. I really loved the breaks and the things you did to keep the learning interesting throughout the video. I wish we had more trainers / teachers like you! You rock!,128,2023-03-02T15:25:56Z,wow this video came up at the right time thank you fcc and thank you craig for making this a fun journey you have done a really amazing job at not making this tutorial a boring one i really loved the breaks and the things you did to keep the learning interesting throughout the video i wish we had more trainers  teachers like you you rock
"I want Craig Dennis to teach me all the hard things in life: explain clearly and positively, tell me that it&#39;s okay to pause, give yourself time, be patient - these are important steps in any new business👏👏👏",80,2023-02-16T15:40:22Z,i want craig dennis to teach me all the hard things in life explain clearly and positively tell me that it39s okay to pause give yourself time be patient  these are important steps in any new business
This is a big move of educational revolution. I have started my self study programming journey from fcc (from zero level) and right now I am in confidence level. THANKS A LOT the whole fcc org and god bless u all. From Burma..,79,2023-03-10T03:47:13Z,this is a big move of educational revolution i have started my self study programming journey from fcc from zero level and right now i am in confidence level thanks a lot the whole fcc org and god bless u all from burma
I really love this man&#39;s energy he makes learning not feel cumbersome at all,59,2023-02-06T23:53:00Z,i really love this man39s energy he makes learning not feel cumbersome at all
"For the windows user, I&#39;d suggest using gitbash instead of the command prompt. That way, the commands used in cURL are the same just like mac and linux.",48,2023-05-01T16:34:38Z,for the windows user i39d suggest using gitbash instead of the command prompt that way the commands used in curl are the same just like mac and linux
