username,timestamp,likes,comment_text,cleaned_tokens,tok_len,char_len,word_len
heidierwin3546,2025-10-19T22:03:01Z,0,"This was good, but probably needs to be updated. Both examples used (spotify &amp; twilo) are now outdated.","['good', 'probably', 'need', 'updated', 'example', 'used', 'spotify', 'amp', 'twilo', 'outdated']",10,107,18
magdalenaojeda3315,2025-10-18T08:30:23Z,0,This is amazing!,['amazing'],1,16,3
anadikulkarni5039,2025-10-14T11:22:03Z,0,Ngl this was just a giant Twilio advertisement.,"['ngl', 'giant', 'twilio', 'advertisement']",4,47,8
F8ferrari888,2025-10-11T00:32:33Z,0,Are you Mr Beasts&#39; father? lol. Why do you look like you could be his father; you even sound like him at times.,"['beast', 'father', 'lol', 'look', 'like', 'could', 'father', 'even', 'sound', 'like', 'time']",11,115,23
FlexTransportationServicesLLC,2025-10-09T21:31:10Z,0,"I would like to reach out to you. I have been brainstorming about white labeling a already developed app and not quite sure how to do this? Can we have a conversation? Look me up on Google. Flex Transportation Services LLC out of Waukesha, WI Thank you","['would', 'like', 'reach', 'brainstorming', 'white', 'labeling', 'already', 'developed', 'app', 'quite', 'sure', 'conversation', 'look', 'google', 'flex', 'transportation', 'service', 'llc', 'waukesha', 'thank']",20,252,47
sleeping_Chad,2025-09-30T04:27:45Z,0,"Bro, looks like old version of Jimmy","['bro', 'look', 'like', 'old', 'version', 'jimmy']",6,36,7
studytimewithjency,2025-10-06T19:28:21Z,0,bruh!! for real,"['bruh', 'real']",2,15,3
UserXUnknownX,2025-09-20T09:28:46Z,2,"Great, but the dad jokes and faff is really annoying. Learning is not about unnecessary distractions.","['great', 'dad', 'joke', 'faff', 'really', 'annoying', 'learning', 'unnecessary', 'distraction']",9,101,16
PiotrZic,2025-09-19T07:03:23Z,0,"Good tut but it is very hard to follow, the spotify developer is totally different right now(9.2025) that is presented, and even for twilio you need to provide your phone number and whole bunch of personal data. It took Instructor to setup twilio on this video almost 10 minutes.","['good', 'tut', 'hard', 'follow', 'spotify', 'developer', 'totally', 'different', 'right', 'presented', 'even', 'twilio', 'need', 'provide', 'phone', 'number', 'whole', 'bunch', 'personal', 'data', 'took', 'instructor', 'setup', 'twilio', 'video', 'almost', 'minute']",27,279,49
coolnaeemdOoO,2025-09-18T21:04:40Z,0,Mr. Beast…,['beast'],1,10,2
inspectorlunge3887,2025-09-17T23:34:23Z,0,"<a href=""https://www.youtube.com/watch?v=WXsD0ZgxjRw&amp;t=441"">7:21</a>","['href', 'http', 'www', 'youtube', 'com', 'watch', 'wxsd', 'zgxjrw', 'amp']",9,72,2
pamelapascault,2025-09-12T18:07:09Z,0,"Definitely Craig is the best, I just had the opportunity to see this video👍 and I am totally engaging in APIs 🙌","['definitely', 'craig', 'best', 'opportunity', 'see', 'video', 'totally', 'engaging', 'apis']",9,111,22
vaishnavishinde3569,2025-09-09T08:37:49Z,0,i understand theory part but I don&#39;t understand what are you Doing 😭😭😭,"['understand', 'theory', 'part', 'understand']",4,74,13
avichiii,2025-10-13T15:10:35Z,0,dont worry. if you are a beginner it is expected that you wont understand the coding part.,"['dont', 'worry', 'beginner', 'expected', 'wont', 'understand', 'coding', 'part']",8,90,17
